Datetime,Time,MWh
1994-01-01,00:00:00,21357.147
1994-02-01,00:00:00,20782.785
1994-03-01,00:00:00,19920.442
1994-04-01,00:00:00,19890.395
1994-05-01,00:00:00,19409.539
1994-06-01,00:00:00,20029.374
1994-07-01,00:00:00,18449.182
1994-08-01,00:00:00,17824.66
1994-09-01,00:00:00,21078.597
1994-10-01,00:00:00,19765.697
1994-11-01,00:00:00,19227.478
1994-12-01,00:00:00,19427.2
1995-01-01,00:00:00,24171.124
1995-02-01,00:00:00,23470.958
1995-03-01,00:00:00,23351.684
1995-04-01,00:00:00,23045.509
1995-05-01,00:00:00,20348.464
1995-06-01,00:00:00,20805.747
1995-07-01,00:00:00,22566.21
1995-08-01,00:00:00,21697.471
1995-09-01,00:00:00,23806.344
1995-10-01,00:00:00,22793.775
1995-11-01,00:00:00,22749.662
1995-12-01,00:00:00,21980.342
1996-01-01,00:00:00,25219.651
1996-02-01,00:00:00,26799.194
1996-03-01,00:00:00,26783.48
1996-04-01,00:00:00,25902.074
1996-05-01,00:00:00,24906.283
1996-06-01,00:00:00,24619.743
1996-07-01,00:00:00,23062.035
1996-08-01,00:00:00,24319.38
1996-09-01,00:00:00,24228.631
1996-10-01,00:00:00,25226.467
1996-11-01,00:00:00,22987.228
1996-12-01,00:00:00,23516.115
1997-01-01,00:00:00,29533.164
1997-02-01,00:00:00,31729.866
1997-03-01,00:00:00,25434.081
1997-04-01,00:00:00,26948.314
1997-05-01,00:00:00,26377.02
1997-06-01,00:00:00,24374.432
1997-07-01,00:00:00,25559.832
1997-08-01,00:00:00,25679.982
1997-09-01,00:00:00,25787.916
1997-10-01,00:00:00,26594.258
1997-11-01,00:00:00,24963.179
1997-12-01,00:00:00,26278.054
1998-01-01,00:00:00,30788.78
1998-02-01,00:00:00,31174.087
1998-03-01,00:00:00,29658.486
1998-04-01,00:00:00,27227.981
1998-05-01,00:00:00,29653.76
1998-06-01,00:00:00,26443.545
1998-07-01,00:00:00,26542.677
1998-08-01,00:00:00,29433.836
1998-09-01,00:00:00,26645.371
1998-10-01,00:00:00,28335.898
1998-11-01,00:00:00,27459.361
1998-12-01,00:00:00,25762.13
1999-01-01,00:00:00,33940.339
1999-02-01,00:00:00,31253.07
1999-03-01,00:00:00,33288.109
1999-04-01,00:00:00,32010.845
1999-05-01,00:00:00,29156.561
1999-06-01,00:00:00,27571.42
1999-07-01,00:00:00,28410.714
1999-08-01,00:00:00,29159.642
1999-09-01,00:00:00,29973.38
1999-10-01,00:00:00,28543.705
1999-11-01,00:00:00,28316.807
1999-12-01,00:00:00,28663.68
2000-01-01,00:00:00,34179.55
2000-02-01,00:00:00,34875.613
2000-03-01,00:00:00,33529.188
2000-04-01,00:00:00,31374.946
2000-05-01,00:00:00,30974.988
2000-06-01,00:00:00,29168.292
2000-07-01,00:00:00,30497.225
2000-08-01,00:00:00,31456.12
2000-09-01,00:00:00,32191.739
2000-10-01,00:00:00,30230.576
2000-11-01,00:00:00,30038.156
2000-12-01,00:00:00,30665.072
2001-01-01,00:00:00,36283.178
2001-02-01,00:00:00,38778.231
2001-03-01,00:00:00,38315.343
2001-04-01,00:00:00,35308.236
2001-05-01,00:00:00,32077.681
2001-06-01,00:00:00,29129.702
2001-07-01,00:00:00,27717.726
2001-08-01,00:00:00,28672.744
2001-09-01,00:00:00,29678.292
2001-10-01,00:00:00,28448.157
2001-11-01,00:00:00,28383.533
2001-12-01,00:00:00,30112.583
2002-01-01,00:00:00,33496.247
2002-02-01,00:00:00,35202.691
2002-03-01,00:00:00,33503.208
2002-04-01,00:00:00,35204.989
2002-05-01,00:00:00,31226.024
2002-06-01,00:00:00,31162.364
2002-07-01,00:00:00,30552.58
2002-08-01,00:00:00,30480.933
2002-09-01,00:00:00,30334.402
2002-10-01,00:00:00,31034.032
2002-11-01,00:00:00,30973.901
2002-12-01,00:00:00,31790.155
2003-01-01,00:00:00,37544.417
2003-02-01,00:00:00,38529.884
2003-03-01,00:00:00,38259.352
2003-04-01,00:00:00,32004.811
2003-05-01,00:00:00,33960.282
2003-06-01,00:00:00,30833.249
2003-07-01,00:00:00,30860.163
2003-08-01,00:00:00,31678.745
2003-09-01,00:00:00,30044.712
